content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
1,29,0.044124;0.043744;0.044799;0.044467;0.044414;0.044144;0.045212;0.044310;0.044184;0.044929;0.044764;0.045310;0.044364;0.044906;0.044450;0.043989;0.043845;0.044312;0.045168;0.044284;0.045325;0.044446;0.044345;0.043774;0.042814;0.042424;0.044174;0.044926;0.045086;0.045390;0.045590;0.043161;0.042835;0.044159;0.044410;0.045384;0.045108;0.044656;0.044002;0.043660;0.044139;0.043945;0.044670;0.044302;0.044206;0.044024;0.043866;0.044041;0.043679,----,0.745963;0.944859;0.748574;0.746383;0.626918;0.445926;0.532363;0.483295;0.635037;0.687313;0.939030;0.750817;0.000000;0.083650;0.837445;0.368964;0.367173;0.744256;0.406782;0.183836;0.350518;0.528157;0.644418;0.282772;0.447692;0.484944;0.433732;0.365260;0.761033;1.000000;0.745956;0.340096;0.677164;0.862047;0.593790;0.772510;0.768699;0.591376;0.458230;0.339103;0.535482;0.396500;0.886717;0.532788;0.572843;0.762136;0.486896;0.672134;0.464691
1,30,0.074694;0.073686;0.073403;0.073655;0.073787;0.073610;0.073853;0.074533;0.073230;0.071877;0.072803;0.072042;0.073046;0.072836;0.075536;0.073406;0.072344;0.073872;0.072759;0.073141;0.072771;0.076246;0.074162;0.072007;0.074275;0.073612;0.072830;0.072521;0.076841;0.075200;0.072608;0.073274;0.073988;0.073032;0.073066;0.076984;0.075344;0.074312;0.075202;0.075334;0.074529;0.074187;0.076637;0.074129;0.074885;0.077298;0.076151;0.076854;0.075330,----,0.709508;0.703936;0.438810;0.367730;0.428533;0.573241;0.687520;0.372642;0.434108;0.299611;0.620908;0.187054;0.356155;0.541624;0.709643;0.175114;0.158760;0.511172;0.371864;0.410329;0.442563;0.666384;0.415273;0.000000;0.404967;0.270552;0.372026;0.398220;0.721398;0.507402;0.331359;0.340695;0.551212;0.606648;0.541093;0.697035;0.545128;0.500197;0.618072;0.568364;0.553100;0.544147;0.868220;0.600045;0.751748;0.838051;0.810700;1.000000;0.753998
1,31,0.053524;0.052384;0.051043;0.051044;0.051299;0.051903;0.053026;0.052700;0.052989;0.052401;0.053761;0.052680;0.052249;0.052837;0.052552;0.052214;0.054071;0.055711;0.053935;0.052287;0.052822;0.052819;0.052150;0.053858;0.054570;0.053370;0.051872;0.052812;0.052528;0.052278;0.052624;0.053318;0.052710;0.051775;0.052460;0.052441;0.053104;0.053179;0.053201;0.052870;0.052693;0.053031;0.052852;0.052690;0.052753;0.053880;0.053710;0.053451;0.053414,----,0.543995;0.313766;0.089818;0.052397;0.047294;0.229719;0.000000;0.539686;0.357909;0.256384;0.687094;0.413442;0.138164;0.232641;0.712572;0.016826;0.596075;0.810439;0.218413;0.080811;0.160845;0.513369;0.296818;0.527218;0.822457;0.683832;0.039785;0.174918;0.302175;0.287151;0.244412;0.348293;0.503739;0.348669;0.264868;0.233072;0.392542;0.167465;0.447567;0.407070;0.292332;0.244577;0.407836;0.344861;0.510388;1.000000;0.491773;0.501987;0.306380
1,32,0.038592;0.037900;0.038342;0.036161;0.036134;0.036794;0.037754;0.037828;0.036758;0.036595;0.035372;0.035094;0.035755;0.037472;0.037497;0.036326;0.035825;0.035277;0.034458;0.034923;0.037429;0.036994;0.035903;0.034243;0.035038;0.034816;0.034668;0.036511;0.036656;0.035593;0.034351;0.036030;0.034495;0.034825;0.037273;0.036241;0.034808;0.033670;0.036205;0.034450;0.034258;0.036034;0.038270;0.036795;0.035978;0.036662;0.035011;0.035899;0.038283,----,1.000000;0.889223;0.762374;0.571038;0.628225;0.774324;0.929549;0.941011;0.533779;0.538123;0.689121;0.406793;0.492875;0.698243;0.746541;0.039433;0.431015;0.410565;0.130496;0.448686;0.820139;0.536028;0.269333;0.161888;0.174146;0.141978;0.219183;0.783849;0.567948;0.382047;0.093581;0.384106;0.129448;0.261331;0.736173;0.461709;0.294357;0.000000;0.428291;0.208836;0.281826;0.327782;0.996997;0.744176;0.679890;0.752577;0.395959;0.518797;0.891227
1,33,0.050941;0.050833;0.052640;0.051968;0.051623;0.052008;0.052033;0.050987;0.052638;0.054494;0.053797;0.051675;0.051555;0.051837;0.053354;0.054397;0.053468;0.053210;0.051863;0.051708;0.051933;0.055499;0.055257;0.053262;0.051735;0.051872;0.051876;0.051745;0.054807;0.053100;0.051803;0.051397;0.051750;0.050504;0.050741;0.053534;0.052396;0.052740;0.052159;0.051199;0.050265;0.051498;0.054297;0.054680;0.054222;0.053224;0.052023;0.052042;0.052584,----,0.445187;0.502073;0.558850;0.533973;0.469698;0.095043;0.128825;0.331322;0.688672;1.000000;0.824200;0.424042;0.403747;0.220245;0.468618;0.594746;0.907858;0.685349;0.473381;0.504509;0.119959;0.838909;0.827212;0.719822;0.548700;0.620463;0.516370;0.293839;0.651601;0.625047;0.460030;0.349185;0.546925;0.084133;0.083624;0.451822;0.438407;0.444966;0.367459;0.393337;0.126327;0.414161;0.338064;0.573962;0.407515;0.528150;0.410736;0.034864;0.000000
1,34,0.065816;0.063610;0.064245;0.063597;0.063058;0.063812;0.065089;0.066072;0.065018;0.065282;0.065359;0.064092;0.064691;0.065708;0.065638;0.064617;0.064911;0.065895;0.065350;0.063867;0.063961;0.065916;0.063747;0.062803;0.064246;0.064026;0.062630;0.063692;0.064004;0.062392;0.063143;0.065347;0.065590;0.064264;0.065365;0.063742;0.063871;0.065452;0.068258;0.066766;0.066177;0.066317;0.065947;0.066407;0.067222;0.068135;0.068182;0.068123;0.067580,----,0.583739;0.427168;0.398772;0.241630;0.246096;0.239658;0.229113;0.514844;0.263195;0.342568;0.390248;0.170939;0.182041;0.286062;0.719789;0.182691;0.308682;0.488240;0.327222;0.000000;0.122750;0.591368;0.221410;0.078793;0.346050;0.297678;0.053266;0.264848;0.399219;0.215039;0.100646;0.414431;0.471934;0.380685;0.425585;0.319135;0.351722;0.439801;0.756189;0.639941;0.584207;0.510686;0.764018;0.752598;0.793317;0.912422;0.957185;1.000000;0.891217
1,35,0.044851;0.044313;0.044163;0.044473;0.044502;0.046111;0.047856;0.045872;0.045569;0.045118;0.045118;0.045186;0.046172;0.049071;0.045795;0.044883;0.045267;0.045231;0.045341;0.046266;0.049055;0.045636;0.044312;0.044334;0.044108;0.044634;0.045867;0.048040;0.045680;0.044055;0.043806;0.043384;0.043960;0.044452;0.045224;0.045489;0.044316;0.044612;0.044702;0.044069;0.043774;0.043988;0.045472;0.044805;0.045235;0.044906;0.044757;0.044528;0.044789,----,0.726838;0.473645;0.246232;0.367932;0.450702;0.656542;0.637794;0.521652;0.276920;0.409138;0.450013;0.634180;0.351627;0.554221;0.596067;0.000000;0.203261;0.379947;0.188811;0.198438;0.629297;0.399092;0.023266;0.192545;0.173256;0.373987;0.408612;0.844117;0.728164;0.409495;0.225628;0.022615;0.046175;0.361401;0.346226;0.671336;0.313564;0.376758;0.213494;0.146908;0.217309;0.223818;1.000000;0.702154;0.574869;0.531989;0.456459;0.532786;0.443210
1,36,0.036785;0.036393;0.035872;0.035910;0.036913;0.037221;0.037375;0.036582;0.036178;0.035750;0.035500;0.036817;0.037012;0.037098;0.036705;0.036551;0.035911;0.035590;0.036290;0.036892;0.036538;0.036276;0.037115;0.036635;0.036331;0.035871;0.036302;0.036374;0.036919;0.036862;0.036636;0.036946;0.035934;0.036584;0.037399;0.036737;0.036465;0.036143;0.036012;0.035973;0.037132;0.037612;0.036726;0.036216;0.035995;0.036096;0.036253;0.036866;0.037184,----,0.489140;0.503858;0.000000;0.464388;0.480581;0.671982;0.713240;0.522844;0.356480;0.334399;0.525678;0.602873;0.385835;0.449583;0.458976;0.524460;0.212866;0.516922;0.280533;0.413109;0.514606;0.720832;0.662269;0.568590;0.708420;0.727119;0.569311;0.668085;0.603428;0.597515;0.826966;0.530526;0.567023;0.733848;1.000000;0.322434;0.232071;0.269884;0.329112;0.341532;0.704212;0.854524;0.476048;0.405138;0.343768;0.414408;0.387525;0.641143;0.543120
1,37,0.046261;0.044904;0.044699;0.045233;0.045134;0.044267;0.047268;0.046117;0.044706;0.044460;0.045175;0.045368;0.044328;0.045459;0.045475;0.044540;0.044483;0.045199;0.045448;0.045739;0.045389;0.045597;0.044550;0.044486;0.044498;0.044447;0.044747;0.044770;0.045645;0.045212;0.044540;0.043458;0.043899;0.043904;0.044960;0.045591;0.044994;0.044396;0.044010;0.044469;0.044708;0.045351;0.046490;0.046626;0.046396;0.046303;0.045708;0.046224;0.046742,----,1.000000;0.619546;0.472753;0.538797;0.368710;0.102209;0.665731;0.876938;0.209890;0.290816;0.538709;0.487663;0.000000;0.275883;0.904316;0.416586;0.322331;0.370418;0.369594;0.384697;0.377070;0.611833;0.301088;0.187725;0.348261;0.416974;0.332853;0.351618;0.411716;0.404337;0.301454;0.049798;0.147847;0.340594;0.569519;0.382633;0.340469;0.288450;0.250853;0.426919;0.503365;0.540571;0.898670;0.701528;0.711352;0.622752;0.742293;0.760533;0.935793
1,38,0.084834;0.084390;0.084429;0.084731;0.084694;0.084499;0.084714;0.084657;0.084258;0.084321;0.082679;0.084911;0.083093;0.084608;0.084713;0.086071;0.089632;0.087303;0.089983;0.083144;0.084594;0.084162;0.090866;0.092326;0.084287;0.087923;0.082681;0.084649;0.085027;0.093578;0.094673;0.083007;0.082506;0.082526;0.084639;0.084953;0.088095;0.087628;0.085037;0.084264;0.084355;0.084667;0.084682;0.084321;0.084246;0.084317;0.084308;0.084340;0.084479,----,0.150084;0.188786;0.229250;0.444167;0.429018;0.271056;0.145747;0.186009;0.348901;0.371663;0.039486;0.305722;0.297795;0.325858;0.303356;0.433077;0.636056;0.399120;0.847920;0.047801;0.183640;0.191015;0.724231;0.730036;0.264900;0.478031;0.000000;0.098330;0.203775;0.830894;1.000000;0.129323;0.100453;0.223997;0.115310;0.156384;0.488531;0.513361;0.475062;0.569297;0.380414;0.211966;0.100272;0.192927;0.250366;0.472656;0.343454;0.281807;0.184738
1,39,0.044020;0.043630;0.043577;0.043344;0.043657;0.043855;0.044447;0.044845;0.043458;0.042966;0.042336;0.043059;0.044083;0.045287;0.044235;0.042786;0.042157;0.041691;0.041687;0.043013;0.044523;0.043827;0.043141;0.043490;0.044235;0.043966;0.043899;0.045689;0.043554;0.043443;0.043373;0.044263;0.044144;0.043754;0.044589;0.042304;0.041485;0.040588;0.041241;0.041381;0.041421;0.042832;0.042385;0.041820;0.041380;0.042217;0.042185;0.041739;0.042775,----,1.000000;0.928120;0.540285;0.862460;0.793125;0.756748;0.848816;0.566315;0.332630;0.545589;0.632508;0.640629;0.749804;0.869965;0.564255;0.071759;0.039471;0.385954;0.236401;0.344392;0.575262;0.732910;0.307005;0.170818;0.781028;0.822494;0.608400;0.563510;0.734504;0.823137;0.517565;0.698627;0.610064;0.951458;0.703492;0.453737;0.125376;0.000000;0.094008;0.192922;0.266408;0.421764;0.545513;0.399621;0.236476;0.396279;0.495638;0.506050;0.557722
1,40,0.076352;0.075033;0.073833;0.073944;0.073947;0.074434;0.075854;0.075352;0.074656;0.075107;0.076024;0.076969;0.077091;0.076320;0.074144;0.073832;0.074034;0.074739;0.075730;0.075729;0.076361;0.075499;0.074602;0.074440;0.075042;0.075723;0.075796;0.077442;0.075944;0.074937;0.075287;0.075594;0.075499;0.076124;0.078017;0.074646;0.071894;0.071187;0.070414;0.071335;0.072508;0.075603;0.074923;0.073185;0.071986;0.071289;0.071162;0.072463;0.074735,----,0.855865;0.610636;0.440280;0.338294;0.495793;0.811083;0.729083;0.537378;0.385759;0.581035;0.409318;0.827297;1.000000;0.564639;0.506183;0.331093;0.318003;0.558005;0.769156;0.875739;0.769809;0.621959;0.595158;0.417238;0.663608;0.674384;0.678276;0.766801;0.650211;0.744772;0.741188;0.689234;0.792963;0.744901;0.997412;0.636117;0.271041;0.269364;0.000000;0.216956;0.501538;0.698549;0.857883;0.607624;0.652720;0.418999;0.456353;0.560550;0.648988
1,41,0.047299;0.046027;0.045297;0.044273;0.045118;0.044670;0.046757;0.046512;0.046075;0.045174;0.043827;0.043855;0.044424;0.045933;0.046931;0.045639;0.045285;0.044339;0.044816;0.046189;0.047498;0.047309;0.046484;0.046793;0.045898;0.045948;0.046209;0.048075;0.047072;0.046269;0.046504;0.045567;0.045410;0.045930;0.047778;0.046117;0.045029;0.044683;0.044361;0.045134;0.046854;0.048169;0.046772;0.045470;0.045511;0.046172;0.047181;0.047706;0.048777,----,1.000000;0.755645;0.345902;0.244771;0.473499;0.230496;0.595142;0.681769;0.568975;0.103777;0.075917;0.064905;0.280494;0.351140;0.758001;0.198922;0.147450;0.145419;0.000000;0.439097;0.689075;0.561206;0.568523;0.401961;0.389497;0.343635;0.244665;0.611905;0.628773;0.441802;0.430755;0.373041;0.471408;0.396272;0.501252;0.347673;0.192057;0.123452;0.139951;0.337504;0.661618;0.474262;0.658529;0.466511;0.397913;0.518286;0.837077;0.827267;0.839268
1,42,0.065196;0.063478;0.063014;0.062892;0.063530;0.063184;0.065097;0.065272;0.063558;0.062461;0.063258;0.063314;0.063249;0.064467;0.065974;0.064699;0.064372;0.064056;0.064021;0.063500;0.064741;0.066426;0.065160;0.065544;0.064423;0.065238;0.064608;0.066157;0.066376;0.065043;0.064586;0.065728;0.065806;0.066408;0.067637;0.065958;0.065257;0.064955;0.064722;0.065454;0.066216;0.066635;0.064947;0.064899;0.065218;0.065471;0.065343;0.065694;0.066068,----,0.478765;0.132690;0.000000;0.176337;0.181244;0.099942;0.429360;0.509949;0.260561;0.157445;0.480250;0.359218;0.127139;0.457247;0.546085;0.342127;0.728404;0.673678;0.208782;0.252208;0.577952;0.849358;0.340318;0.522659;0.530163;0.838875;0.528897;0.644682;0.769825;0.519210;0.247718;0.463794;1.000000;0.913547;0.803279;0.577697;0.490977;0.217789;0.334008;0.669844;0.619326;0.560272;0.416650;0.499661;0.457277;0.625179;0.605684;0.700297;0.742901
1,43,0.052515;0.051266;0.052790;0.052459;0.053215;0.051838;0.052729;0.051924;0.051733;0.052582;0.052398;0.052501;0.052239;0.053571;0.053262;0.051630;0.051114;0.051452;0.052111;0.053393;0.054112;0.053042;0.052138;0.051692;0.051445;0.052342;0.053663;0.054406;0.053718;0.054166;0.053483;0.052203;0.052041;0.052729;0.054430;0.053883;0.054947;0.054363;0.053842;0.052426;0.052386;0.053823;0.053142;0.054013;0.053580;0.053672;0.053482;0.053838;0.054130,----,0.425799;0.246493;0.357475;0.757625;0.880489;0.591092;0.573363;0.358613;0.258896;0.528237;0.709077;0.560002;0.762293;0.945632;0.533172;0.000000;0.287874;0.387937;0.595305;0.977045;0.892513;0.438521;0.082713;0.368477;0.248671;0.562669;0.845163;0.831312;0.830941;0.592703;0.593942;0.374422;0.476432;0.740966;1.000000;0.758213;0.823974;0.702250;0.519997;0.467212;0.694604;0.874507;0.808775;0.895987;0.689260;0.671940;0.728256;0.740377;0.699269
1,44,0.083119;0.080625;0.080871;0.080739;0.080999;0.082079;0.085236;0.083578;0.081960;0.080909;0.081760;0.082534;0.084139;0.087026;0.081803;0.080602;0.080332;0.082142;0.083523;0.084621;0.086636;0.082394;0.081597;0.081990;0.082603;0.082336;0.083580;0.085661;0.083521;0.084117;0.083021;0.081630;0.081814;0.082480;0.084266;0.082902;0.081431;0.080999;0.079989;0.080870;0.082502;0.085693;0.082571;0.079131;0.078991;0.078765;0.079307;0.080884;0.084611,----,0.512524;0.323103;0.262415;0.213568;0.185221;0.283294;0.641076;0.691092;0.574778;0.410176;0.343931;0.406238;0.577264;0.894847;0.493220;0.345713;0.083419;0.163166;0.420342;0.568559;1.000000;0.786926;0.720619;0.401601;0.308764;0.265816;0.622129;0.691552;0.736889;0.841377;0.518680;0.357006;0.437055;0.531792;0.656815;0.253359;0.265567;0.266259;0.188725;0.290969;0.528238;0.803597;0.271459;0.000000;0.161928;0.318584;0.203238;0.264327;0.658502
1,45,0.049937;0.047603;0.047719;0.046857;0.048076;0.048224;0.050905;0.049915;0.047311;0.048176;0.048151;0.048752;0.049059;0.051377;0.049839;0.048101;0.047753;0.049799;0.050206;0.050246;0.052562;0.050382;0.047937;0.047376;0.049712;0.051095;0.051843;0.052795;0.050961;0.049708;0.047128;0.047706;0.048591;0.049448;0.050745;0.051000;0.048226;0.047092;0.047035;0.046261;0.046820;0.048604;0.051066;0.048046;0.046259;0.046828;0.046828;0.047750;0.048316,----,0.783793;0.426246;0.246229;0.149757;0.380357;0.392641;0.773369;0.550975;0.103769;0.267659;0.494950;0.430256;0.435089;0.652430;0.550246;0.000000;0.279814;0.611935;0.566116;0.667752;0.754799;0.692193;0.114476;0.129093;0.490438;0.846165;0.861606;1.000000;0.843470;0.683121;0.169726;0.161402;0.391571;0.770462;0.881625;0.848540;0.440862;0.366948;0.315643;0.276499;0.294913;0.415140;0.968660;0.585741;0.285259;0.402918;0.418329;0.544133;0.431465
1,46,0.067275;0.066969;0.066881;0.066146;0.065990;0.066953;0.067501;0.067499;0.067313;0.067663;0.067270;0.066449;0.067102;0.067548;0.067817;0.066481;0.066487;0.066729;0.067302;0.067191;0.067689;0.067353;0.066075;0.065970;0.067021;0.066376;0.066867;0.068493;0.067651;0.067067;0.067031;0.067317;0.066499;0.068301;0.069408;0.067891;0.066913;0.065771;0.066675;0.067311;0.068455;0.068361;0.067456;0.065996;0.065531;0.066363;0.067541;0.067493;0.067758,----,0.358770;0.624019;0.495396;0.695623;0.425839;0.471526;0.319251;0.361506;0.501415;0.713644;0.811233;0.462036;0.811337;0.676626;0.333729;0.348929;0.362026;0.647971;0.630217;0.748392;0.375627;0.415324;0.000000;0.080601;0.415774;0.465494;0.621932;0.691601;0.543921;0.458993;0.461841;0.635898;0.551973;0.877135;1.000000;0.414867;0.313564;0.156598;0.263958;0.580559;0.770467;0.674278;0.333998;0.286090;0.367671;0.392015;0.566110;0.609163;0.498864
1,47,0.045566;0.045069;0.044878;0.045743;0.045406;0.045121;0.044618;0.045250;0.044432;0.044677;0.044988;0.045003;0.044752;0.044736;0.045930;0.045270;0.045259;0.045418;0.045512;0.045138;0.045073;0.045590;0.045362;0.045386;0.045022;0.045176;0.045347;0.045488;0.045671;0.045421;0.045730;0.045351;0.045096;0.044397;0.045060;0.045666;0.045729;0.045543;0.045731;0.044758;0.044340;0.045477;0.045489;0.044895;0.045122;0.045278;0.044879;0.044228;0.045360,----,0.440618;0.464558;0.373054;0.519970;0.750147;0.845595;0.631156;0.631431;0.398786;0.447025;0.549906;0.715728;0.574216;0.316463;0.623381;0.568695;0.498250;0.523013;0.625017;0.696113;0.513056;0.710657;0.402903;0.397409;0.137864;0.000000;0.545043;0.519935;0.786280;0.647403;0.471157;0.362781;0.730959;0.707769;0.502010;0.699285;0.491122;0.421349;0.693320;0.583618;0.666007;0.601164;0.705026;0.732454;0.707607;0.945705;0.992778;0.674438;1.000000
1,48,0.033926;0.032926;0.033133;0.033529;0.032821;0.032592;0.033234;0.034032;0.032890;0.033696;0.033548;0.033026;0.032232;0.033038;0.033628;0.033048;0.034372;0.033712;0.033653;0.033039;0.033215;0.033569;0.033073;0.034371;0.034062;0.033211;0.033065;0.033133;0.033839;0.032858;0.033353;0.033174;0.031433;0.032102;0.033655;0.033642;0.032751;0.032702;0.032993;0.031741;0.032319;0.033761;0.033846;0.032790;0.032701;0.032847;0.032597;0.032473;0.033445,----,0.577000;0.308383;0.495381;0.504698;0.563890;0.606598;0.556112;0.419708;0.198102;0.533735;0.451627;0.425668;0.107788;0.153687;0.443740;0.122261;0.405304;0.513282;0.493540;0.277843;0.347566;0.569029;0.227483;0.606891;0.397263;0.285432;0.345450;0.221629;0.822579;0.483370;0.439508;0.171453;0.000000;0.253814;0.417701;0.613777;0.366676;0.373320;0.373063;0.127598;0.152584;0.509229;1.000000;0.695931;0.597155;0.736150;0.608346;0.512427;0.637498
1,49,0.066874;0.065679;0.067835;0.070137;0.068266;0.067122;0.067241;0.068007;0.065965;0.067101;0.069571;0.068822;0.068386;0.068777;0.068998;0.066868;0.067422;0.068450;0.067413;0.068024;0.069440;0.068667;0.067169;0.067561;0.067839;0.067287;0.066840;0.069074;0.068827;0.068629;0.068329;0.068529;0.067937;0.066348;0.069113;0.068408;0.068689;0.069352;0.070732;0.069609;0.067587;0.068366;0.066974;0.067708;0.070201;0.072139;0.070441;0.067657;0.067784,----,0.508204;0.563971;0.543160;0.701498;0.533010;0.406533;0.571955;0.481704;0.000000;0.321066;0.670401;0.391789;0.506957;0.763026;0.650338;0.289126;0.408411;0.557453;0.364086;0.683146;0.776875;0.653397;0.330013;0.352089;0.450718;0.551364;0.491611;0.614517;0.724992;0.639220;0.525876;0.659087;0.456747;0.523066;0.811816;0.573480;0.605672;0.599791;0.903808;0.829586;0.552998;0.690127;0.370484;0.489526;0.761389;1.000000;0.859741;0.574752;0.667309
1,50,0.057359;0.055289;0.055457;0.055367;0.056255;0.056529;0.057391;0.059306;0.056730;0.056845;0.057248;0.057777;0.058024;0.058605;0.060172;0.058641;0.058993;0.059020;0.059257;0.059660;0.059858;0.058421;0.057217;0.057140;0.057072;0.058068;0.058283;0.058955;0.057670;0.055790;0.055585;0.056251;0.058474;0.059156;0.057749;0.058147;0.057091;0.056486;0.057355;0.059618;0.058605;0.058062;0.058156;0.057699;0.057540;0.057518;0.057798;0.056953;0.057877,----,0.627629;0.000000;0.029552;0.023698;0.325226;0.425479;0.647481;0.900515;0.372596;0.469170;0.585826;0.417429;0.246884;0.632762;1.000000;0.579485;0.726244;0.829692;0.563196;0.495696;0.724328;0.820708;0.107124;0.222224;0.359443;0.602508;0.439430;0.463831;0.518840;0.145308;0.047393;0.087559;0.713180;0.864737;0.409319;0.567424;0.335137;0.146106;0.253687;0.718155;0.676011;0.323290;0.712557;0.546227;0.490425;0.697839;0.716473;0.320079;0.291402
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,average number of patches,,
,,number of patches past some threshold per artist,,
,,,,
,,top 5-10 most and least dominant styles and contents,,
,,,,
,,change patch size,,
,,change model,,
